client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,491,753,690,866,528,546,723,398,986,436
1,719,946,707,272,684,317,548,439,423,580
2,293,581,552,999,383,641,331,867,562,1436
3,335,398,636,733,327,752,399,700,534,1578
4,442,730,605,445,1042,453,678,616,487,259
5,1302,489,782,637,643,176,504,648,903,0
6,1091,192,489,342,680,711,930,552,385,185
7,597,616,313,531,652,527,631,884,270,900
8,368,1044,516,560,661,397,532,564,872,133
9,285,993,668,746,242,901,642,597,429,442
