client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,893,855,1311,480,431,510,655,262,511,576
1,391,1122,541,632,505,752,732,599,148,362
2,309,895,622,1554,929,827,630,619,566,862
3,759,2133,1869,333,594,662,626,232,540,0
4,513,2099,700,1071,830,541,435,535,812,0
5,191,1938,1034,1126,1062,962,525,1068,0,0
6,294,1344,1071,787,413,1002,680,460,592,827
7,610,736,1331,1552,958,589,366,181,766,488
8,461,1081,868,568,553,602,716,1078,386,901
9,527,1658,1238,394,1183,435,362,561,724,643
