client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,215,535,83,14,1,267,173,314,1254,415
1,20,297,30,534,838,53,367,217,558,388
2,77,125,1291,659,55,29,76,27,196,138
3,81,371,1717,28,695,431,0,0,0,0
4,154,1,113,152,33,334,335,1146,417,3
5,146,4,37,182,186,376,91,29,23,184
6,1192,43,567,260,236,971,0,0,0,0
7,779,796,111,815,23,41,536,0,0,0
8,359,30,326,36,66,98,34,664,410,1437
9,139,158,14,148,1116,98,344,1022,0,0
10,249,107,136,65,135,86,427,216,157,18
11,195,1143,31,613,339,76,954,0,0,0
12,139,36,4,175,300,372,303,174,145,648
13,578,388,486,123,128,53,190,164,663,2119
14,446,135,46,385,69,221,52,963,756,0
15,375,579,2,918,133,152,539,621,0,0
16,140,193,674,95,446,585,222,131,920,0
17,155,116,3,97,760,680,158,550,123,87
18,134,748,119,514,103,65,100,26,228,512
19,350,937,168,318,180,433,1017,1,1,0
