client : 0, samples : 37511/697932, percentage : 0.05374592367164709
client : 1, samples : 101254/697932, percentage : 0.14507717084185853
client : 2, samples : 9812/697932, percentage : 0.014058676203412368
client : 3, samples : 1401/697932, percentage : 0.0020073588831003592
client : 4, samples : 18673/697932, percentage : 0.026754755477611
client : 5, samples : 151/697932, percentage : 0.00021635345563751195
client : 6, samples : 3849/697932, percentage : 0.005514863912243599
client : 7, samples : 35175/697932, percentage : 0.050398892728804524
client : 8, samples : 189782/697932, percentage : 0.2719204736278033
client : 9, samples : 39651/697932, percentage : 0.05681212496346349
client : 10, samples : 231/697932, percentage : 0.0003309778029951342
client : 11, samples : 168793/697932, percentage : 0.2418473432941891
client : 12, samples : 64448/697932, percentage : 0.09234137423130047
client : 13, samples : 3089/697932, percentage : 0.004425932612346188
client : 14, samples : 3681/697932, percentage : 0.005274152782792593
client : 15, samples : 1611/697932, percentage : 0.002308247794914118
client : 16, samples : 4053/697932, percentage : 0.005807155998005536
client : 17, samples : 994/697932, percentage : 0.0014242075159184562
client : 18, samples : 1550/697932, percentage : 0.0022208467300539308
client : 19, samples : 12223/697932, percentage : 0.017513167471902708
