client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,2,0,0,0,11,1842,0,0,178,542
1,0,0,0,0,58,4,908,0,47,5
2,0,4,1361,161,0,0,0,1,1802,0
3,3547,0,0,0,0,0,0,0,0,0
4,51,5,1742,0,1227,0,0,0,0,0
5,6,0,14,0,2041,12,4632,0,0,0
6,0,7,0,0,0,0,0,0,0,17
7,143,1717,75,37,0,363,9,0,58,891
8,0,0,0,520,0,0,0,0,867,19
9,0,628,79,0,1,2468,0,0,0,0
10,87,120,0,418,1158,13,328,0,6,489
11,6,2139,1,18,0,0,0,3055,0,0
12,203,1,0,1784,91,0,40,195,26,92
13,1859,347,6,1244,0,0,0,0,0,0
14,0,0,31,8,0,0,0,113,2865,0
15,0,0,71,282,0,694,0,154,1,3879
16,13,92,759,5,241,0,0,0,0,14
17,0,0,0,0,0,10,1,507,1,1
18,5,1509,19,1,1014,14,0,2240,0,0
19,1,173,1800,1653,0,1,0,0,0,0
