client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,513,387,396,271,495,531,543,621,615,859
1,182,369,346,189,472,271,382,477,736,378
2,401,582,371,422,790,321,593,430,464,639
3,470,286,567,708,385,627,172,438,758,1190
4,476,512,319,641,322,777,677,454,554,587
5,826,782,723,450,1142,396,351,528,0,0
6,479,538,692,602,202,367,253,402,502,513
7,583,274,450,403,381,331,641,391,314,834
8,393,944,648,509,365,1030,846,648,0,0
9,677,326,488,805,446,349,542,611,1057,0
