client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,284,311,200,373,524,223,133,236,141,260
1,100,254,343,214,335,168,711,301,348,0
2,222,333,586,150,282,158,422,229,173,0
3,260,126,68,222,378,194,310,270,590,498
4,264,114,240,253,268,349,251,324,181,527
5,457,541,123,441,190,165,396,382,0,0
6,265,320,172,254,235,152,213,178,382,118
7,322,271,191,201,263,269,337,142,489,203
8,218,188,222,415,271,203,173,286,235,152
9,374,413,294,265,312,372,142,385,0,0
10,175,170,159,257,96,201,159,244,233,230
11,266,157,329,77,128,128,246,354,151,236
12,591,165,213,108,279,407,127,157,321,422
13,180,219,354,184,190,228,144,225,111,96
14,151,94,186,304,102,184,251,178,423,328
15,175,324,240,267,119,127,270,262,278,311
16,145,115,335,187,233,363,29,288,256,639
17,115,345,258,296,349,532,222,130,205,499
18,187,155,145,421,184,282,212,211,173,226
19,249,385,342,111,262,295,252,218,310,255
