client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,0,8,3,1,3,11,2,0,1354,11
1,0,136,0,1,16,0,0,1,1005,38
2,0,305,0,1,0,0,0,2257,0,0
3,1969,3,13,124,0,3082,0,0,0,0
4,0,28,0,357,0,0,1,156,1,155
5,0,3484,0,0,0,0,0,0,0,0
6,30,0,0,174,0,0,1,0,0,33
7,9,391,202,52,460,68,3077,0,0,0
8,196,8,7,1,0,453,0,118,0,0
9,0,0,455,49,1,0,106,0,0,477
10,1541,42,0,8,2915,0,0,0,0,0
11,552,0,0,0,1511,1,1309,0,0,0
12,151,120,0,0,75,0,333,1073,0,4285
13,1,0,76,4216,0,0,0,0,0,0
14,76,1,3954,0,0,0,0,0,0,0
15,2,0,0,0,0,1258,170,1394,0,0
16,445,0,41,4,15,111,0,0,0,0
17,1,473,153,0,0,0,0,0,68,0
18,26,0,1,11,4,0,0,0,0,0
19,1,1,95,1,0,16,1,1,2572,1
