client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,0,0,861,33,134,0,0,1595,132,0
1,0,0,3283,0,0,0,0,0,0,4
2,46,0,196,7185,0,0,0,0,0,0
3,270,0,846,193,0,0,4,1005,1292,68
4,0,5504,0,0,0,0,0,0,0,0
5,0,986,1111,10,21,0,3893,0,0,0
6,9,899,0,0,0,0,9,200,947,895
7,2730,0,1665,0,0,0,0,0,0,0
8,2,1,55,98,2393,1320,0,0,0,0
9,0,536,2,395,1191,86,1281,0,0,1285
10,0,1929,0,1,105,23,372,8,0,0
11,228,1,0,0,24,0,0,0,391,0
12,0,894,29,0,0,3,25,13,0,1566
13,754,259,885,540,161,2292,0,0,0,0
14,0,0,1651,0,1881,0,0,0,0,568
15,12,1604,0,0,6,792,121,1221,0,0
16,0,0,0,36,1,0,5,571,140,0
17,823,1,0,4,0,0,16,12,2,272
18,65,1246,0,0,23,0,1,969,2141,0
19,9,1,1,2,1518,2366,0,1,0,1
