client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,123,319,109,222,165,502,692,159,1050,2
1,405,65,470,111,493,206,599,265,116,158
2,65,555,20,205,686,231,470,586,164,250
3,178,562,241,799,313,329,313,108,210,286
4,324,966,505,272,360,91,427,238,57,769
5,79,299,215,479,161,460,296,157,1370,17
6,485,281,1044,146,115,239,16,543,529,958
7,762,78,2,223,559,160,469,124,202,457
8,92,745,1361,882,83,175,424,0,0,0
9,185,818,95,755,115,20,446,632,12,283
10,4,404,386,624,845,794,136,376,335,0
11,140,1936,29,6,291,138,169,401,348,1084
12,247,92,1574,800,1183,0,0,0,0,0
13,47,546,87,352,28,24,7,538,621,44
14,1030,554,1064,471,68,113,90,96,14,175
15,52,88,422,80,955,906,144,481,16,176
16,191,2880,1325,0,0,0,0,0,0,0
17,2,889,377,1462,74,1655,0,0,0,0
18,96,1534,1092,8,483,352,506,0,0,0
19,441,250,167,600,481,487,523,891,1,0
