client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,124,1255,1103,203,92,310,289,725,236,854
1,384,246,480,46,86,129,1569,461,116,767
2,252,408,309,565,425,261,50,960,131,100
3,357,846,164,151,1610,520,876,79,512,0
4,62,702,1072,1929,305,305,149,237,104,293
5,851,1143,93,312,556,663,100,1002,932,0
6,1787,45,682,671,193,982,189,314,1150,0
7,294,13,496,180,378,124,615,462,856,1383
8,221,42,423,14,1341,1065,101,648,500,269
9,668,300,178,929,14,641,1062,112,463,1334
