client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,183,183,193,308,88,222,315,220,407,422
1,267,200,224,161,299,341,187,490,70,325
2,109,455,193,383,230,323,401,140,108,333
3,125,339,233,379,240,242,143,229,476,554
4,164,583,571,314,247,197,109,237,405,124
5,485,348,378,195,446,383,669,265,0,0
6,406,133,182,175,266,307,469,113,266,384
7,222,388,323,572,413,239,126,489,341,0
8,137,448,443,490,207,221,132,564,173,389
9,106,251,429,163,172,148,216,284,137,761
10,375,292,75,460,146,218,489,370,762,0
11,347,682,155,339,340,147,367,421,236,0
12,330,206,125,287,496,248,426,209,506,212
13,443,287,286,382,155,152,39,387,150,356
14,304,443,318,173,397,440,306,352,404,0
15,229,294,416,289,458,424,158,304,268,667
16,509,287,304,169,202,374,150,323,298,421
17,391,398,202,269,357,371,390,534,302,0
18,489,239,387,264,385,194,669,170,190,348
19,302,286,521,359,298,230,157,164,352,653
